selling_date,customer_id,sku_name,sku_quantity,total_revenue
16-08-2023,Customer 173,Chilli Small Spicy (Akash Chilli ),1,68
16-08-2023,Customer 173,Lemon Green ( Lime ),1,102
16-08-2023,Customer 173,Mint Leaves (Pudhina ),0.25,9.25
16-08-2023,Customer 173,Onion,5,142.5
16-08-2023,Customer 214,Radish White,1,31
16-08-2023,Customer 214,Carrot Local,3,138
16-08-2023,Customer 214,Lemon Yellow,1,99.5
16-08-2023,Customer 214,Garlic Peeled,0.5,268.5
16-08-2023,Customer 214,Chilli Small Spicy (Akash Chilli ),0.5,32.5
16-08-2023,Customer 173,Spring Onion,0.5,25
16-08-2023,Customer 173,Potato,5,152.5
16-08-2023,Customer 173,Tomato Hybrid,15,600
16-08-2023,Customer 173,Pumpkin Red (Kadoo) (Pc),1,85
16-08-2023,Customer 041,"Tomato Hybrid (Mix of medium, semi ripe 12-16 pcs/kg)",8,184
16-08-2023,Customer 041,Zucchini Green - Medium,2,146
16-08-2023,Customer 041,Zucchini Yellow - Medium,2,144
16-08-2023,Customer 041,Mushroom Button,8,312
16-08-2023,Customer 041,Beans Haricot,1,36
16-08-2023,Customer 041,Lemongrass,0.6,48
16-08-2023,Customer 214,Tomato Hybrid,8,319.2
16-08-2023,Customer 214,Onion,20,570
16-08-2023,Customer 214,Cucumber Indian - Medium,6,144
16-08-2023,Customer 173,Capsicum Green - Big,1,51
16-08-2023,Customer 173,"Capsicum Yellow (Medium, misshapes, irregular size)",0.5,56
16-08-2023,Customer 173,"Capsicum Red (Medium, misshapes, irregular size)",0.5,56
16-08-2023,Customer 173,Cauliflower (600-900gm/pc),2,42
16-08-2023,Customer 173,Coriander Hybrid,0.5,19.5
16-08-2023,Customer 173,Cucumber English,1,39
16-08-2023,Customer 075,Onion,40,920
16-08-2023,Customer 075,Raw Mango,5,1000
16-08-2023,Customer 075,Broccoli,5,390
16-08-2023,Customer 075,Capsicum Red - Big,1,162
16-08-2023,Customer 075,Capsicum Yellow - Big,1,162
16-08-2023,Customer 118,Tomato Hybrid,90,3780
16-08-2023,Customer 118,Beans Haricot,15,1050
16-08-2023,Customer 118,Carrot Local,25,1375
16-08-2023,Customer 118,Cabbage Local - Big,15,300
16-08-2023,Customer 118,Ridge Gourd,3,129
16-08-2023,Customer 118,Capsicum Green - Big,15,825
16-08-2023,Customer 118,Chow Chow,15,300
16-08-2023,Customer 118,Drumstick,4,640
16-08-2023,Customer 118,Radish White,3,105
16-08-2023,Customer 118,Cauliflower (600-900gm/pc),30,1050
16-08-2023,Customer 118,Cucumber Indian - Medium,20,440
16-08-2023,Customer 187,"Capsicum Red (Medium, misshapes, irregular size)",1,112
16-08-2023,Customer 187,Palak,10,330
16-08-2023,Customer 187,Onion - Medium,10,229
16-08-2023,Customer 187,"Capsicum Yellow (Medium, misshapes, irregular size)",1,112
16-08-2023,Customer 187,"Potato - (Medium, 17-20 pcs/kg)",5,125
16-08-2023,Customer 187,Zucchini Green - Medium,2.1,147
16-08-2023,Customer 187,Zucchini Yellow - Medium,2,156
16-08-2023,Customer 187,Broccoli,4,320
16-08-2023,Customer 187,Lettuce Red,0.5,39
16-08-2023,Customer 187,Cauliflower (600-900gm/pc),2,42
16-08-2023,Customer 187,Mushroom Button,6,234
16-08-2023,Customer 187,Leeks,0.5,44
16-08-2023,Customer 187,Lettuce Iceberg,2,124
16-08-2023,Customer 187,Lettuce Romaine,1.5,120
16-08-2023,Customer 187,Ginger,0.5,57.5
16-08-2023,Customer 187,Celery,0.5,34.5
16-08-2023,Customer 187,Cabbage Red,0.6,42
16-08-2023,Customer 187,Beans Haricot,3,135
16-08-2023,Customer 245,Carrot Local,20,700
16-08-2023,Customer 247,Carrot Local,2,70
16-08-2023,Customer 247,Tomato Hybrid,20,700
16-08-2023,Customer 247,Coriander Hybrid,2,70
16-08-2023,Customer 247,Lemon Yellow,2,70
16-08-2023,Customer 016,Raw Mango,2,400
16-08-2023,Customer 016,Orange Imported,1,252
16-08-2023,Customer 016,Asparagus,0.5,87.5
16-08-2023,Customer 016,Banana Leaf,1,40
16-08-2023,Customer 016,Basil Leaves,0.5,50
16-08-2023,Customer 016,Bok Choy (Pok Choy ),10,630
16-08-2023,Customer 016,"Capsicum Green (Medium, misshapes, irregular size)",2,50
16-08-2023,Customer 214,Bajji Chilli,1,47
16-08-2023,Customer 214,Brinjal Small - Purple Stripes (Varikatri ),2,55
16-08-2023,Customer 214,Muskmelon,5.2,260
16-08-2023,Customer 214,Pineapple,4,268
16-08-2023,Customer 214,Watermelon Kiran,3,291
16-08-2023,Customer 214,Orange Kinnow,3,192
16-08-2023,Customer 187,Cherry Tomato,1,82
16-08-2023,Customer 187,Parsley,0.75,60.75
16-08-2023,Customer 181,"Capsicum Red (Medium, misshapes, irregular size)",0.5,56
16-08-2023,Customer 181,"Capsicum Green (Medium, misshapes, irregular size)",1,30
16-08-2023,Customer 181,"Tomato Hybrid (Mix of medium, semi ripe 12-16 pcs/kg)",8,236
16-08-2023,Customer 181,Palak,1,33
16-08-2023,Customer 181,Onion - Medium,5,114.5
16-08-2023,Customer 181,"Capsicum Yellow (Medium, misshapes, irregular size)",0.5,56
16-08-2023,Customer 181,"Zucchini Green - Big, misshape",1,47
16-08-2023,Customer 181,"Potato - (Medium, 17-20 pcs/kg)",5,125
16-08-2023,Customer 187,curry leaves,0.1,5.5
16-08-2023,Customer 187,Coconut,1,29.5
16-08-2023,Customer 187,Rocket Lettuce - Arugula,0.5,47.5
16-08-2023,Customer 187,Garlic Peeled,2.5,1362.5
16-08-2023,Customer 187,Basil Leaves,3,237
16-08-2023,Customer 187,Brinjal Big - Bottle Black (Bharta Baingan / Eggplant ),1,40
16-08-2023,Customer 187,Sweet Potato,1,45
16-08-2023,Customer 123,"Potato - (Medium, 17-20 pcs/kg)",50,1150
16-08-2023,Customer 173,Ginger,0.5,57.5
16-08-2023,Customer 094,Spring Onion,1.5,72
16-08-2023,Customer 094,Onion,30,855
16-08-2023,Customer 094,"Potato - (Medium, 17-20 pcs/kg)",15,375
16-08-2023,Customer 094,Garlic Whole,2,720
16-08-2023,Customer 094,Garlic Peeled,3,1611
16-08-2023,Customer 094,Ginger,3,324
